cve_entidad,nom_entidad,cve_municipio,nom_municipio,edad_primer_union,num_hijos,nivel_escolaridad,estado_civil_id,estado_civil_desc,estrato_socioeconomico,pareja_trabaja_id,pareja_trabaja_desc,ingreso_pareja,dinero_propio_id,dinero_propio_desc,apoyo_gobierno_id,apoyo_gobierno_desc,tiene_ahorros_id,tiene_ahorros_desc,propietaria_vivienda_id,propietaria_vivienda_desc,sufrio_violencia_pareja,factor_expansion,autonomia_financiera,bloque_educativo
1,aguascalientes,1,aguascalientes,7.0,0,C1,6,soltera,3,1,sí,3200,1,sí,2,no,2,no,2,no,1,193,media,superior_o_posgrado
1,aguascalientes,1,aguascalientes,7.0,0,C2,6,soltera,3,1,sí,10000,1,sí,2,no,2,no,1,sí,0,96,media,superior_o_posgrado
1,aguascalientes,1,aguascalientes,7.0,0,C2,6,soltera,3,2,no,0,1,sí,1,sí,2,no,2,no,0,193,media,superior_o_posgrado
1,aguascalientes,1,aguascalientes,7.0,0,C1,6,soltera,3,2,no,0,1,sí,2,no,2,no,1,sí,1,308,media,superior_o_posgrado
1,aguascalientes,1,aguascalientes,7.0,0,C1,6,soltera,3,1,sí,1800,1,sí,2,no,2,no,2,no,1,103,media,superior_o_posgrado
1,aguascalientes,1,aguascalientes,7.0,3,A1,5,casada,3,1,sí,10000,1,sí,2,no,2,no,2,no,0,205,media,basica_o_primaria
1,aguascalientes,1,aguascalientes,7.0,0,C1,6,soltera,3,1,sí,18000,1,sí,2,no,2,no,1,sí,0,205,media,superior_o_posgrado
1,aguascalientes,1,aguascalientes,7.0,0,C1,6,soltera,2,1,sí,3000,1,sí,2,no,2,no,2,no,1,282,media,superior_o_posgrado
1,aguascalientes,1,aguascalientes,7.0,0,C2,6,soltera,2,1,sí,30000,1,sí,2,no,2,no,1,sí,0,141,media,superior_o_posgrado
1,aguascalientes,1,aguascalientes,0.0,4,B1,2,separada,2,1,sí,1500,1,sí,2,no,2,no,2,no,1,70,media,secundaria_o_bachillerato
1,aguascalientes,1,aguascalientes,7.0,4,A1,5,casada,2,2,no,0,1,sí,2,no,1,sí,1,sí,0,70,alta,basica_o_primaria
1,aguascalientes,1,aguascalientes,7.0,3,A1,5,casada,4,1,sí,5000,1,sí,2,no,1,sí,1,sí,0,225,alta,basica_o_primaria
1,aguascalientes,1,aguascalientes,7.0,1,A1,1,unión libre,4,2,no,0,1,sí,2,no,2,no,2,no,1,112,media,basica_o_primaria
1,aguascalientes,1,aguascalientes,7.0,3,A1,5,casada,2,1,sí,1200,1,sí,2,no,2,no,1,sí,1,79,media,basica_o_primaria
1,aguascalientes,1,aguascalientes,7.0,0,C1,6,soltera,2,2,no,0,2,no,1,sí,2,no,1,sí,0,158,baja,superior_o_posgrado
1,aguascalientes,1,aguascalientes,7.0,0,C1,6,soltera,2,1,sí,8000,2,no,2,no,2,no,1,sí,0,237,baja,superior_o_posgrado
1,aguascalientes,1,aguascalientes,7.0,0,C2,6,soltera,2,2,no,0,2,no,2,no,2,no,2,no,0,184,baja,superior_o_posgrado
1,aguascalientes,1,aguascalientes,7.0,0,C1,6,soltera,2,2,no,0,1,sí,1,sí,2,no,2,no,0,92,media,superior_o_posgrado
1,aguascalientes,1,aguascalientes,7.0,1,A1,1,unión libre,2,2,no,0,2,no,2,no,2,no,2,no,0,92,baja,basica_o_primaria
1,aguascalientes,1,aguascalientes,7.0,3,A1,5,casada,2,2,no,0,2,no,2,no,2,no,1,sí,1,173,baja,basica_o_primaria
1,aguascalientes,1,aguascalientes,7.0,3,A1,5,casada,2,1,sí,8000,1,sí,2,no,2,no,2,no,1,87,media,basica_o_primaria
1,aguascalientes,1,aguascalientes,7.0,1,A1,1,unión libre,2,1,sí,750,2,no,2,no,2,no,2,no,0,87,baja,basica_o_primaria
1,aguascalientes,1,aguascalientes,7.0,3,A1,5,casada,2,2,no,0,1,sí,2,no,2,no,1,sí,1,79,media,basica_o_primaria
1,aguascalientes,1,aguascalientes,7.0,1,A1,1,unión libre,2,1,sí,1500,1,sí,2,no,2,no,1,sí,0,393,media,basica_o_primaria
1,aguascalientes,1,aguascalientes,7.0,1,A1,1,unión libre,2,2,no,0,2,no,2,no,2,no,1,sí,0,157,baja,basica_o_primaria
1,aguascalientes,1,aguascalientes,25.0,1,B1,6,soltera,2,1,sí,1000,1,sí,2,no,2,no,2,no,0,79,media,secundaria_o_bachillerato
1,aguascalientes,1,aguascalientes,7.0,0,C1,6,soltera,2,1,sí,0,2,no,2,no,2,no,1,sí,0,250,baja,superior_o_posgrado
1,aguascalientes,1,aguascalientes,7.0,1,A1,3,divorciada,2,2,no,0,2,no,2,no,2,no,2,no,0,83,baja,basica_o_primaria
1,aguascalientes,1,aguascalientes,7.0,3,A1,5,casada,2,2,no,0,2,no,2,no,2,no,2,no,0,83,baja,basica_o_primaria
1,aguascalientes,1,aguascalientes,5.0,3,B1,3,divorciada,2,1,sí,1000,2,no,2,no,2,no,2,no,1,208,baja,secundaria_o_bachillerato
1,aguascalientes,1,aguascalientes,5.0,1,B1,2,separada,2,2,no,0,1,sí,2,no,2,no,2,no,0,69,media,secundaria_o_bachillerato
1,aguascalientes,1,aguascalientes,19.0,3,B1,3,divorciada,2,2,no,0,2,no,2,no,2,no,2,no,0,139,baja,secundaria_o_bachillerato
1,aguascalientes,1,aguascalientes,1.0,1,B1,2,separada,2,1,sí,999998,1,sí,2,no,2,no,2,no,1,139,media,secundaria_o_bachillerato
1,aguascalientes,1,aguascalientes,7.0,1,A1,1,unión libre,2,2,no,0,1,sí,2,no,2,no,2,no,0,139,media,basica_o_primaria
1,aguascalientes,1,aguascalientes,19.0,3,B2,4,viuda,2,2,no,0,1,sí,2,no,2,no,1,sí,0,85,media,secundaria_o_bachillerato
1,aguascalientes,1,aguascalientes,7.0,0,C2,6,soltera,2,2,no,0,2,no,2,no,2,no,1,sí,0,170,baja,superior_o_posgrado
1,aguascalientes,1,aguascalientes,7.0,1,A1,1,unión libre,2,2,no,0,2,no,2,no,2,no,1,sí,0,170,baja,basica_o_primaria
1,aguascalientes,1,aguascalientes,11.0,3,A2,5,casada,2,1,sí,8000,1,sí,2,no,1,sí,1,sí,0,170,alta,basica_o_primaria
1,aguascalientes,1,aguascalientes,7.0,4,A1,5,casada,2,1,sí,950,2,no,2,no,2,no,2,no,0,85,baja,basica_o_primaria
1,aguascalientes,1,aguascalientes,7.0,0,C2,6,soltera,3,2,no,0,2,no,2,no,2,no,1,sí,0,172,baja,superior_o_posgrado
1,aguascalientes,1,aguascalientes,7.0,3,A1,5,casada,3,2,no,0,1,sí,1,sí,2,no,1,sí,0,86,media,basica_o_primaria
