cve_entidad,nom_entidad,cve_municipio,nom_municipio,edad_primer_union,num_hijos,nivel_escolaridad,estado_civil_id,estado_civil_desc,estrato_socioeconomico,pareja_trabaja_id,pareja_trabaja_desc,ingreso_pareja,dinero_propio_id,dinero_propio_desc,apoyo_gobierno_id,apoyo_gobierno_desc,tiene_ahorros_id,tiene_ahorros_desc,propietaria_vivienda_id,propietaria_vivienda_desc,sufrio_violencia_pareja,factor_expansion,anio_encuesta
1,AGUASCALIENTES,1,AGUASCALIENTES,,,C2,6,Soltera,3,1,Sí,1200.0,1,Sí,2,No,2,No,1,Sí,0,174,2021
1,AGUASCALIENTES,1,AGUASCALIENTES,,,C2,6,Soltera,3,2,No,,2,No,2,No,1,Sí,1,Sí,0,254,2021
1,AGUASCALIENTES,1,AGUASCALIENTES,,,C1,6,Soltera,3,2,No,,2,No,2,No,2,No,1,Sí,0,85,2021
1,AGUASCALIENTES,1,AGUASCALIENTES,,3.0,A1,5,Casada,3,2,No,,1,Sí,2,No,1,Sí,1,Sí,0,85,2021
1,AGUASCALIENTES,1,AGUASCALIENTES,,3.0,A1,5,Casada,3,1,Sí,4800.0,1,Sí,2,No,2,No,1,Sí,0,85,2021
1,AGUASCALIENTES,1,AGUASCALIENTES,,,C1,6,Soltera,3,1,Sí,2000.0,1,Sí,2,No,2,No,2,No,0,94,2021
1,AGUASCALIENTES,1,AGUASCALIENTES,,,C1,6,Soltera,3,1,Sí,10000.0,2,No,2,No,2,No,2,No,0,94,2021
1,AGUASCALIENTES,1,AGUASCALIENTES,,1.0,A1,1,Unión libre,3,2,No,,2,No,2,No,2,No,2,No,0,282,2021
1,AGUASCALIENTES,1,AGUASCALIENTES,,3.0,A1,5,Casada,3,2,No,,2,No,2,No,2,No,1,Sí,0,188,2021
1,AGUASCALIENTES,1,AGUASCALIENTES,,3.0,A1,5,Casada,2,1,Sí,4000.0,2,No,2,No,2,No,2,No,0,248,2021
1,AGUASCALIENTES,1,AGUASCALIENTES,,3.0,A1,5,Casada,2,2,No,,1,Sí,1,Sí,1,Sí,2,No,0,83,2021
1,AGUASCALIENTES,1,AGUASCALIENTES,,,C1,6,Soltera,3,2,No,,2,No,2,No,2,No,2,No,0,289,2021
1,AGUASCALIENTES,1,AGUASCALIENTES,,,C1,6,Soltera,3,1,Sí,3200.0,1,Sí,2,No,2,No,2,No,1,193,2021
1,AGUASCALIENTES,1,AGUASCALIENTES,,,C2,6,Soltera,3,1,Sí,10000.0,1,Sí,2,No,2,No,1,Sí,0,96,2021
1,AGUASCALIENTES,1,AGUASCALIENTES,,,C2,6,Soltera,3,2,No,,1,Sí,1,Sí,2,No,2,No,0,193,2021
1,AGUASCALIENTES,1,AGUASCALIENTES,,,C1,6,Soltera,3,2,No,,1,Sí,2,No,2,No,1,Sí,1,308,2021
